"Penumbra Start Time (UTCG)","Umbra Start Time (UTCG)","Umbra Stop Time (UTCG)","Penumbra Stop Time (UTCG)","Obstruction","Duration (sec)","Max Percent Shadow","Time of Max Shadow (UTCG)"
3 May 2030 17:45:02.507,3 May 2030 17:45:10.477,3 May 2030 18:26:32.678,3 May 2030 18:26:45.587,"Jupiter",2503.080,100.000000,3 May 2030 17:45:10.477
6 May 2030 15:44:48.330,6 May 2030 15:44:56.502,6 May 2030 16:27:10.699,6 May 2030 16:27:23.937,"Jupiter",2555.607,100.000000,6 May 2030 15:44:56.502
9 May 2030 13:44:35.511,9 May 2030 13:44:43.882,9 May 2030 14:27:52.263,9 May 2030 14:28:05.841,"Jupiter",2610.330,100.000000,9 May 2030 13:44:43.882
12 May 2030 11:44:24.084,12 May 2030 11:44:32.664,12 May 2030 12:28:37.548,12 May 2030 12:28:51.477,"Jupiter",2667.392,100.000000,12 May 2030 11:44:32.664
15 May 2030 09:44:14.083,15 May 2030 09:44:22.873,15 May 2030 10:29:26.743,15 May 2030 10:29:41.038,"Jupiter",2726.955,100.000000,15 May 2030 09:44:22.873
18 May 2030 07:44:05.541,18 May 2030 07:44:14.553,18 May 2030 08:30:20.057,18 May 2030 08:30:34.723,"Jupiter",2789.183,100.000000,18 May 2030 07:44:14.553
21 May 2030 05:43:58.505,21 May 2030 05:44:07.742,21 May 2030 06:31:17.687,21 May 2030 06:31:32.745,"Jupiter",2854.240,100.000000,21 May 2030 05:44:07.742
24 May 2030 03:43:53.014,24 May 2030 03:44:02.480,24 May 2030 04:32:19.865,24 May 2030 04:32:35.326,"Jupiter",2922.312,100.000000,24 May 2030 03:44:02.480
27 May 2030 01:43:49.116,27 May 2030 01:43:58.817,27 May 2030 02:33:26.822,27 May 2030 02:33:42.699,"Jupiter",2993.583,100.000000,27 May 2030 01:43:58.817
29 May 2030 23:43:46.853,29 May 2030 23:43:56.794,30 May 2030 00:34:38.791,30 May 2030 00:34:55.100,"Jupiter",3068.247,100.000000,29 May 2030 23:43:56.794
1 Jun 2030 21:43:46.274,1 Jun 2030 21:43:56.461,1 Jun 2030 22:35:56.045,1 Jun 2030 22:36:12.800,"Jupiter",3146.526,100.000000,1 Jun 2030 21:43:56.461
4 Jun 2030 19:43:47.440,4 Jun 2030 19:43:57.882,4 Jun 2030 20:37:18.846,4 Jun 2030 20:37:36.064,"Jupiter",3228.624,100.000000,4 Jun 2030 19:43:57.882
7 Jun 2030 17:43:50.408,7 Jun 2030 17:44:01.104,7 Jun 2030 18:38:47.473,7 Jun 2030 18:39:05.174,"Jupiter",3314.766,100.000000,7 Jun 2030 17:44:01.104
10 Jun 2030 15:43:55.241,10 Jun 2030 15:44:06.202,10 Jun 2030 16:40:22.228,10 Jun 2030 16:40:40.420,"Jupiter",3405.180,100.000000,10 Jun 2030 15:44:06.202
13 Jun 2030 13:44:02.011,13 Jun 2030 13:44:13.243,13 Jun 2030 14:42:03.413,13 Jun 2030 14:42:22.123,"Jupiter",3500.112,100.000000,13 Jun 2030 13:44:13.243
16 Jun 2030 11:44:10.785,16 Jun 2030 11:44:22.295,16 Jun 2030 12:43:51.359,16 Jun 2030 12:44:10.599,"Jupiter",3599.814,100.000000,16 Jun 2030 11:44:22.295
19 Jun 2030 09:44:21.656,19 Jun 2030 09:44:33.448,19 Jun 2030 10:45:46.400,19 Jun 2030 10:46:06.193,"Jupiter",3704.538,100.000000,19 Jun 2030 09:44:33.448
22 Jun 2030 07:44:34.698,22 Jun 2030 07:44:46.786,22 Jun 2030 08:47:48.897,22 Jun 2030 08:48:09.267,"Jupiter",3814.569,100.000000,22 Jun 2030 07:44:46.786
25 Jun 2030 05:44:50.017,25 Jun 2030 05:45:02.407,25 Jun 2030 06:49:59.214,25 Jun 2030 06:50:20.177,"Jupiter",3930.160,100.000000,25 Jun 2030 05:45:02.407
28 Jun 2030 03:45:07.714,28 Jun 2030 03:45:20.414,28 Jun 2030 04:52:17.731,28 Jun 2030 04:52:39.314,"Jupiter",4051.599,100.000000,28 Jun 2030 03:45:20.414
1 Jul 2030 01:45:27.902,1 Jul 2030 01:45:40.922,1 Jul 2030 02:54:44.850,1 Jul 2030 02:55:07.078,"Jupiter",4179.175,100.000000,1 Jul 2030 01:45:40.922
