"Time (UTCG)","x (km)","y (km)","z (km)"
31 Oct 2030 00:09:58.699,330741615.512690,673060681.261596,280438985.489296
31 Oct 2030 01:09:58.699,330699306.486462,673076169.075303,280446653.849040
31 Oct 2030 02:09:58.699,330656996.096951,673091654.586712,280454321.242617
31 Oct 2030 03:09:58.699,330614684.358773,673107137.747833,280461987.647389
31 Oct 2030 04:09:58.699,330572371.295205,673122618.513348,280469653.042135
31 Oct 2030 05:09:58.699,330530056.937584,673138096.841802,280477317.407605
31 Oct 2030 06:09:58.699,330487741.324537,673153572.696694,280484980.727027
31 Oct 2030 07:09:58.699,330445424.501020,673169046.047456,280492642.986560
31 Oct 2030 08:09:58.699,330403106.517209,673184516.870279,280500304.175665
31 Oct 2030 09:09:58.699,330360787.427262,673199985.148771,280507964.287402
31 Oct 2030 10:09:58.699,330318467.288001,673215450.874422,280515623.318628
31 Oct 2030 11:09:58.699,330276146.157534,673230914.046889,280523281.270108
31 Oct 2030 12:09:58.699,330233824.093855,673246374.674075,280530938.146534
31 Oct 2030 13:09:58.699,330191501.153465,673261832.772026,280538593.956452
31 Oct 2030 14:09:58.699,330149177.390041,673277288.364636,280546248.712097
31 Oct 2030 15:09:58.699,330106852.853171,673292741.483195,280553902.429162
31 Oct 2030 16:09:58.699,330064527.587202,673308192.165763,280561555.126477
31 Oct 2030 17:09:58.699,330022201.630200,673323640.456420,280569206.825639
31 Oct 2030 18:09:58.699,329979875.013051,673339086.404391,280576857.550579
31 Oct 2030 19:09:58.699,329937547.758708,673354530.063071,280584507.327083
31 Oct 2030 20:09:58.699,329895219.881610,673369971.488971,280592156.182287
31 Oct 2030 21:09:58.699,329852891.387245,673385410.740606,280599804.144135
31 Oct 2030 22:09:58.699,329810562.271902,673400847.877348,280607451.240833
31 Oct 2030 23:09:58.699,329768232.522592,673416282.958245,280615097.500281
1 Nov 2030 00:09:58.699,329725902.117133,673431716.040839,280622742.949516
1 Nov 2030 01:09:58.699,329683571.024455,673447147.179969,280630387.614148
1 Nov 2030 02:09:58.699,329641239.205038,673462576.426671,280638031.517840
1 Nov 2030 03:09:58.699,329598906.611556,673478003.827089,280645674.681802
1 Nov 2030 04:09:58.699,329556573.189672,673493429.421495,280653317.124336
1 Nov 2030 05:09:58.699,329514238.878989,673508853.243384,280660958.860425
1 Nov 2030 06:09:58.699,329471903.614154,673524275.318709,280668599.901385
1 Nov 2030 07:09:58.699,329429567.326066,673539695.665261,280676240.254586
1 Nov 2030 08:09:58.699,329387229.943192,673555114.292207,280683879.923257
1 Nov 2030 09:09:58.699,329344891.392941,673570531.199799,280691518.906373
1 Nov 2030 10:09:58.699,329302551.603090,673585946.379264,280699157.198616
1 Nov 2030 11:09:58.699,329260210.503229,673601359.812878,280706794.790445
1 Nov 2030 12:09:58.699,329217868.026175,673616771.474236,280714431.668240
1 Nov 2030 13:09:58.699,329175524.109362,673632181.328712,280722067.814544
1 Nov 2030 14:09:58.699,329133178.696121,673647589.334103,280729703.208397
1 Nov 2030 15:09:58.699,329090831.736876,673662995.441455,280737337.825738
1 Nov 2030 16:09:58.699,329048483.190178,673678399.596044,280744971.639897
1 Nov 2030 17:09:58.699,329006133.023579,673693801.738502,280752604.622144
1 Nov 2030 18:09:58.699,328963781.214294,673709201.806062,280760236.742284
1 Nov 2030 19:09:58.699,328921427.749661,673724599.733879,280767867.969306
1 Nov 2030 20:09:58.699,328879072.627343,673739995.456421,280775498.272035
1 Nov 2030 21:09:58.699,328836715.855314,673755388.908857,280783127.619802
1 Nov 2030 22:09:58.699,328794357.451564,673770780.028446,280790755.983092
1 Nov 2030 23:09:58.699,328751997.443603,673786168.755848,280798383.334166
2 Nov 2030 00:09:58.699,328709635.867726,673801555.036345,280806009.647624
2 Nov 2030 01:09:58.699,328667272.768128,673816938.820924,280813634.900911
2 Nov 2030 02:09:58.699,328624908.195787,673832320.067249,280821259.074756
2 Nov 2030 03:09:58.699,328582542.207270,673847698.740433,280828882.153524
2 Nov 2030 04:09:58.699,328540174.863420,673863074.813650,280836504.125482
2 Nov 2030 05:09:58.699,328497806.227965,673878448.268547,280844124.982974
2 Nov 2030 06:09:58.699,328455436.366114,673893819.095470,280851744.722503
2 Nov 2030 07:09:58.699,328413065.343133,673909187.293502,280859363.344729
2 Nov 2030 08:09:58.699,328370693.222940,673924552.870330,280866980.854381
2 Nov 2030 09:09:58.699,328328320.066780,673939915.841914,280874597.260075
2 Nov 2030 10:09:58.699,328285945.931937,673955276.232007,280882212.574068
2 Nov 2030 11:09:58.699,328243570.870580,673970634.071511,280889826.811930
2 Nov 2030 12:09:58.699,328201194.928718,673985989.397698,280897439.992157
2 Nov 2030 13:09:58.699,328158818.145287,674001342.253312,280905052.135727
2 Nov 2030 14:09:58.699,328116440.551415,674016692.685572,280912663.265618
2 Nov 2030 15:09:58.699,328074062.169835,674032040.745090,280920273.406279
2 Nov 2030 16:09:58.699,328031683.014478,674047386.484747,280927882.583089
2 Nov 2030 17:09:58.699,327989303.090259,674062729.958515,280935490.821795
2 Nov 2030 18:09:58.699,327946922.393028,674078071.220280,280943098.147950
2 Nov 2030 19:09:58.699,327904540.909705,674093410.322669,280950704.586356
2 Nov 2030 20:09:58.699,327862158.618605,674108747.315900,280958310.160524
