"Penumbra Start Time (UTCG)","Umbra Start Time (UTCG)","Umbra Stop Time (UTCG)","Penumbra Stop Time (UTCG)","Obstruction","Duration (sec)","Max Percent Shadow","Time of Max Shadow (UTCG)"
17 Apr 2032 05:56:34.591,17 Apr 2032 05:56:37.279,17 Apr 2032 06:39:23.306,17 Apr 2032 06:39:25.465,"Jupiter",2570.874,100.000000,17 Apr 2032 05:56:37.279
20 Apr 2032 03:56:29.756,20 Apr 2032 03:56:32.417,20 Apr 2032 04:39:15.268,20 Apr 2032 04:39:17.433,"Jupiter",2567.676,100.000000,20 Apr 2032 03:56:32.417
23 Apr 2032 01:56:24.738,23 Apr 2032 01:56:27.370,23 Apr 2032 02:39:07.328,23 Apr 2032 02:39:09.509,"Jupiter",2564.771,100.000000,23 Apr 2032 01:56:27.370
25 Apr 2032 23:56:19.535,25 Apr 2032 23:56:22.144,26 Apr 2032 00:38:59.506,26 Apr 2032 00:39:01.698,"Jupiter",2562.164,100.000000,25 Apr 2032 23:56:22.144
28 Apr 2032 21:56:14.151,28 Apr 2032 21:56:16.730,28 Apr 2032 22:38:51.801,28 Apr 2032 22:38:54.005,"Jupiter",2559.854,100.000000,28 Apr 2032 21:56:16.730
1 May 2032 19:56:08.590,1 May 2032 19:56:11.144,1 May 2032 20:38:44.218,1 May 2032 20:38:46.436,"Jupiter",2557.846,100.000000,1 May 2032 19:56:11.144
4 May 2032 17:56:02.859,4 May 2032 17:56:05.387,4 May 2032 18:38:36.764,4 May 2032 18:38:39.000,"Jupiter",2556.141,100.000000,4 May 2032 17:56:05.387
7 May 2032 15:55:56.952,7 May 2032 15:55:59.456,7 May 2032 16:38:29.443,7 May 2032 16:38:31.688,"Jupiter",2554.736,100.000000,7 May 2032 15:55:59.456
10 May 2032 13:55:50.882,10 May 2032 13:55:53.367,10 May 2032 14:38:22.259,10 May 2032 14:38:24.522,"Jupiter",2553.640,100.000000,10 May 2032 13:55:53.367
13 May 2032 11:55:44.652,13 May 2032 11:55:47.108,13 May 2032 12:38:15.222,13 May 2032 12:38:17.494,"Jupiter",2552.842,100.000000,13 May 2032 11:55:47.108
16 May 2032 09:55:38.258,16 May 2032 09:55:40.694,16 May 2032 10:38:08.327,16 May 2032 10:38:10.623,"Jupiter",2552.364,100.000000,16 May 2032 09:55:40.694
19 May 2032 07:55:31.715,19 May 2032 07:55:34.129,19 May 2032 08:38:01.593,19 May 2032 08:38:03.897,"Jupiter",2552.183,100.000000,19 May 2032 07:55:34.129
