"Time (UTCG)","x (km)","y (km)","z (km)"
17 Apr 2032 16:09:58.699,-251669840.683062,670042155.079919,293289809.493955
17 Apr 2032 17:09:58.699,-251693751.190133,669984814.818889,293264954.744961
17 Apr 2032 18:09:58.699,-251714399.092671,669928875.231121,293240797.198686
17 Apr 2032 19:09:58.699,-251731903.838687,669874550.898086,293217435.719324
17 Apr 2032 20:09:58.699,-251746402.026998,669822048.568368,293194965.286538
17 Apr 2032 21:09:58.699,-251758046.819270,669771566.017119,293173476.469379
17 Apr 2032 22:09:58.699,-251767007.257840,669723290.933778,293153054.914644
17 Apr 2032 23:09:58.699,-251773467.490138,669677399.844940,293133780.852865
18 Apr 2032 00:09:58.699,-251777625.901755,669634057.080084,293115728.625524
18 Apr 2032 01:09:58.699,-251779694.155553,669593413.783682,293098966.235187
18 Apr 2032 02:09:58.699,-251779896.146960,669555606.986926,293083554.924579
18 Apr 2032 03:09:58.699,-251778466.871050,669520758.740406,293069548.785322
18 Apr 2032 04:09:58.699,-251775651.210057,669488975.318345,293056994.401170
18 Apr 2032 05:09:58.699,-251771702.644709,669460346.500479,293045930.528542
18 Apr 2032 06:09:58.699,-251766881.895438,669434944.938611,293036387.817570
18 Apr 2032 07:09:58.699,-251761455.500134,669412825.614476,293028388.576690
18 Apr 2032 08:09:58.699,-251755694.336041,669394025.395135,293021946.583559
18 Apr 2032 09:09:58.699,-251749872.094207,669378562.691614,293017066.944913
18 Apr 2032 10:09:58.699,-251744263.715739,669366437.225904,293013746.007587
18 Apr 2032 11:09:58.699,-251739143.799874,669357629.910690,293011971.322656
18 Apr 2032 12:09:58.699,-251734784.994562,669352102.845403,293011721.664219
18 Apr 2032 13:09:58.699,-251731456.380826,669349799.431257,293012967.103937
18 Apr 2032 14:09:58.699,-251729421.862682,669350644.606976,293015669.141969
18 Apr 2032 15:09:58.699,-251728938.574706,669354545.205858,293019780.894454
18 Apr 2032 16:09:58.699,-251730255.319539,669361390.433711,293025247.337161
18 Apr 2032 17:09:58.699,-251733611.047666,669371052.466044,293032005.604396
18 Apr 2032 18:09:58.699,-251739233.391621,669383387.161693,293039985.341682
18 Apr 2032 19:09:58.699,-251747337.266467,669398234.888797,293049109.110139
18 Apr 2032 20:09:58.699,-251758123.547936,669415421.457777,293059292.839928
18 Apr 2032 21:09:58.699,-251771777.838981,669434759.154692,293070446.329491
18 Apr 2032 22:09:58.699,-251788469.334827,669456047.867149,293082473.786825
