"Time (UTCG)","x (km)","y (km)","z (km)"
5 Aug 2030 17:09:58.699,415727522.713137,635868755.996698,262408569.136573
5 Aug 2030 18:09:58.699,415750591.939268,635884226.226337,262416992.423174
5 Aug 2030 19:09:58.699,415773627.313613,635908130.761219,262429429.479771
5 Aug 2030 20:09:58.699,415795242.998337,635940375.074479,262445812.363910
5 Aug 2030 21:09:58.699,415814087.862177,635980679.014975,262465985.363436
5 Aug 2030 22:09:58.699,415828875.890654,636028584.062799,262489708.953439
5 Aug 2030 23:09:58.699,415838414.767267,636083464.662665,262516665.663547
6 Aug 2030 00:09:58.699,415841631.966189,636144543.262949,262546467.667566
6 Aug 2030 01:09:58.699,415837597.761396,636210908.640666,262578665.886113
6 Aug 2030 02:09:58.699,415825544.730220,636281536.953034,262612760.328646
6 Aug 2030 03:09:58.699,415804883.377635,636355314.993930,262648211.420709
6 Aug 2030 04:09:58.699,415775213.644537,636431065.057760,262684452.028022
6 Aug 2030 05:09:58.699,415736332.174751,636507570.831463,262720899.899632
6 Aug 2030 06:09:58.699,415688235.307880,636583603.739812,262756970.256021
6 Aug 2030 07:09:58.699,415631117.854562,636657949.191074,262792088.259932
6 Aug 2030 08:09:58.699,415565367.791298,636729432.203410,262825701.124906
6 Aug 2030 09:09:58.699,415491557.078496,636796941.931820,262857289.636339
6 Aug 2030 10:09:58.699,415410428.859736,636859454.658652,262886378.881383
6 Aug 2030 11:09:58.699,415322881.345103,636916054.854870,262912548.005736
6 Aug 2030 12:09:58.699,415229948.718453,636965953.963090,262935438.836864
6 Aug 2030 13:09:58.699,415132779.439532,637008506.595805,262954763.233899
6 Aug 2030 14:09:58.699,415032612.338872,637043223.882633,262970309.044087
6 Aug 2030 15:09:58.699,414930750.927265,637069783.739479,262981944.564741
6 Aug 2030 16:09:58.699,414828536.364314,637088037.870800,262989621.428143
6 Aug 2030 17:09:58.699,414727319.552480,637098015.355467,262993375.846005
6 Aug 2030 18:09:58.699,414628432.845857,637099922.709603,262993328.170838
6 Aug 2030 19:09:58.699,414533161.893094,637094140.370544,262989680.756232
6 Aug 2030 20:09:58.699,414442718.131859,637081215.595307,262982714.121496
6 Aug 2030 21:09:58.699,414358212.500197,637061851.817522,262972781.450919
6 Aug 2030 22:09:58.699,414280630.901242,637036894.599620,262960301.501649
6 Aug 2030 23:09:58.699,414210811.986964,637007314.359121,262945750.014679
7 Aug 2030 00:09:58.699,414149427.798146,636974186.143751,262929649.768573
7 Aug 2030 01:09:58.699,414096967.766890,636938666.811906,262912559.454025
7 Aug 2030 02:09:58.699,414053726.543720,636901970.053388,262895061.583857
7 Aug 2030 03:09:58.699,414019796.044537,636865339.764386,262877749.689656
7 Aug 2030 04:09:58.699,413995062.024905,636830022.362973,262861215.089138
7 Aug 2030 05:09:58.699,413979205.382917,636797238.691005,262846033.534982
7 Aug 2030 06:09:58.699,413971708.270126,636768156.190010,262832752.073686
7 Aug 2030 07:09:58.699,413971864.956860,636743862.058869,262821876.450436
7 Aug 2030 08:09:58.699,413978797.258562,636725338.097203,262813859.391766
7 Aug 2030 09:09:58.699,413991474.189111,636713437.908891,262809090.081497
7 Aug 2030 10:09:58.699,414008735.371937,636708867.084982,262807885.116879
7 Aug 2030 11:09:58.699,414029317.617399,636712166.905280,262810481.191811
7 Aug 2030 12:09:58.699,414051883.974096,636723701.995016,262817029.703373
7 Aug 2030 13:09:58.699,414075054.501677,636743652.244416,262827593.415710
